type,date,start,end,room,speaker,topic,tags,language,location,description
talk,2012-02-17,9:00,9:45,D1,"Jakub Hrozek, Jan Zeleny",FreeIPA/SSSD + intro to MIT kerberos,Security,,FIMUNI,"relro/execinstr/pi[ec]/LD_*/...& Introduction to DWARF, ELF, GDB/binutils, build-id etc."
talk,2012-02-17,9:00,9:45,D2,František Řezníček,Towards Unified Messaging ,CoreOS,,FIMUNI,
talk,2012-02-17,9:00,9:45,D3,Lukáš Vlček,Searching in JBoss.org content ,JBoss,,FIMUNI,
talk,2012-02-17,9:50,10:35,D1,"Alexander Bokovoy, Andreas Schneider",Cross-realm trusts in FreeIPA v3.0,Security,,FIMUNI,
talk,2012-02-17,9:50,10:35,D2,"Kamil Dudka, Ondřej Vašík",Common C/C++ error patterns & Static analysis,CoreOS,,FIMUNI,
talk,2012-02-17,9:50,10:35,D3,Christian Sadilek,JBoss Errai Framework,JBoss,,FIMUNI,
talk,2012-02-17,10:40,11:25,D1,"Eduard Beneš, Miroslav Grepl",SELinux news in Fedora 16,Security,,FIMUNI,
talk,2012-02-17,10:40,11:25,D2,Adam Tkáč,DNSSEC in Fedora 17,CoreOS,,FIMUNI,
talk,2012-02-17,10:40,11:25,D3,Martin Kouba,Contexts and Dependency Injection for the Java EE platform,JBoss,,FIMUNI,
talk,2012-02-17,11:30,12:15,D1,Dmitri Pal,Identity Management Roadmap + MIT and kerberos,Security,,FIMUNI,
talk,2012-02-17,11:30,12:15,D2,"Marcela Maslanova, Jindrich Novy",Dynamic Software Collections,CoreOS,,FIMUNI,
talk,2012-02-17,11:30,12:15,D3,Peter Skopek,PicketBox in AS7,JBoss,,FIMUNI,
social,2012-02-17,12:15,12:30,,,Quick break,,,FIMUNI,
talk,2012-02-17,12:30,13:15,D1,Peter Vrabec,Security compliance check in Fedora,Security,,FIMUNI,
talk,2012-02-17,12:30,13:15,D2,Bryn Reeves,Supporting the Open Source enterprise,Misc,,FIMUNI,
talk,2012-02-17,12:30,13:15,D3,Karel Piwko, Arquillian Drone Helping Ike Get Rid of the Bugs,JBoss,,FIMUNI,
talk,2012-02-17,13:20,14:05,D1,Miloslav Trmac,Concise overview of security,Security,,FIMUNI,
talk,2012-02-17,13:20,14:05,D2,Jan Hutar,Software robot competitions around the world and our way,Misc,,FIMUNI,
talk,2012-02-17,13:20,14:05,D3,Pavol Pitoňák,RichFaces - Testing on Mobile Devices,JBoss,,FIMUNI,
talk,2012-02-17,14:10,14:55,D1,Steve Grubb,Security Logging Initiative/Audit,Security,,FIMUNI,
talk,2012-02-17,14:10,14:55,D2,Stanislav Kozina,What can Linux learn from the others,Misc,,FIMUNI,
talk,2012-02-17,14:10,14:55,D3,Mark Proctor,TBD,JBoss,,FIMUNI,
talk,2012-02-17,15:00,15:45,D1,"Lennart Poettering, Kay Sievers",Do's and Don'ts when Writing System Services,CoreOS,,FIMUNI,
talk,2012-02-17,15:00,15:45,D2,Phil Knirsch,The future of yum and rpm,CoreOS,,FIMUNI,
talk,2012-02-17,15:00,15:45,D3,Pete Muir,"Building a transactional, scaled application using Infinispan and Java EE",JBoss,,FIMUNI,
talk,2012-02-17,15:50,16:35,D1,Rainer Gerhards,rsyslog future,Security,,FIMUNI,
talk,2012-02-17,15:50,16:35,D2,Thomas Graf,"libnl, network config tools for RHEL7 or kernel QoS",CoreOS,,FIMUNI,
talk,2012-02-17,15:50,16:35,D3,Michal Linhard ,Hibernate OGM,JBoss,,FIMUNI,
talk,2012-02-17,16:40,17:25,D1,Harald Hoyer,A streamlined and fully compatible Linux Filesystem Hierarchy,CoreOS,,FIMUNI,
talk,2012-02-17,16:40,17:25,D2,Jaroslav Škarvada,Power management SIG,CoreOS,,FIMUNI,
talk,2012-02-17,16:40,17:25,D3,Vojtech Juranek,Continuous integration with Jenkins CI ,Misc,,FIMUNI,
lab,2012-02-17,9:00,17:25,L1,,Gnome Hackfest,,,FIMUNI,
lab,2012-02-17,9:00,17:25,L3,,Open for meetings/hackfests,Social,,,
lab,2012-02-17,10:40,12:15,L2,Vít Ondruch,Framework wars - Ruby on Rails,,,FIMUNI,
lab,2012-02-17,12:30,14:05,L2,Michal Fojtík,Framework wars – Sinatra,,,FIMUNI,
lab,2012-02-17,14:10,15:45,L2,Daniel Mach,Daniel Mach - Framework wars – Django,,,FIMUNI,
lab,2012-02-17,15:50,16:35,L2,"Eduard Beneš, Miroslav Grepl",SELinux is your friend,Security,,FIMUNI,
social,2012-02-17,17:30,21:00,,,Party,,,FIMUNI,
talk,2012-02-18,9:00,9:45,D1,"Marek Poláček, Jan Kratochvíl",prelink/ELF,Tools,,FIMUNI,
talk,2012-02-18,9:00,9:45,D2,Lukas Czerner,"Btrfs - Design, Implementation and the Current Status",Kernel,,FIMUNI,
talk,2012-02-18,9:00,9:45,D3,"Michal Fojtík, Fracesco Vollero",Cloud in the wild ,Cloud,,FIMUNI,
